Title,Episode,Season,Directed by,Written by,Prod.,U.S. viewers (in millions)
Pilot,1,1,Ken Kwapis,Ricky Gervais & Stephen Merchant and Greg Daniels,1001,11.2
Diversity Day,2,1,Ken Kwapis,B. J. Novak,1002,6
Health Care,3,1,Ken Whittingham,Paul Lieberstein,1006,5.8
The Alliance,4,1,Bryan Gordon,Michael Schur,1004,5.4
Basketball,5,1,Greg Daniels,Greg Daniels,1005,5
Hot Girl,6,1,Amy Heckerling,Mindy Kaling,1003,4.8
The Dundies,7,2,Greg Daniels,Mindy Kaling,2003,9
Sexual Harassment,8,2,Ken Kwapis,B. J. Novak,2002,7.13
Office Olympics,9,2,Paul Feig,Michael Schur,2004,8.3
The Fire,10,2,Ken Kwapis,B. J. Novak,2001,7.6
Halloween,11,2,Paul Feig,Greg Daniels,2006,8
The Fight,12,2,Ken Kwapis,Gene Stupnitsky & Lee Eisenberg,2007,7.9
The Client,13,2,Greg Daniels,Paul Lieberstein,2005,7.5
Performance Review,14,2,Paul Feig,Larry Wilmore,2009,8
Email Surveillance,15,2,Paul Feig,Jennifer Celotta,2008,8.1
Christmas Party,16,2,Charles McDougall,Michael Schur,2010,9.7
Booze Cruise,17,2,Ken Kwapis,Greg Daniels,2013,8.7
The Injury,18,2,Bryan Gordon,Mindy Kaling,2011,10.3
The Secret,19,2,Dennie Gordon,Lee Eisenberg & Gene Stupnitsky,2014,8.7
The Carpet,20,2,"Victor Nelli, Jr.",Paul Lieberstein,2012,8.6
Boys and Girls,21,2,Dennie Gordon,B. J. Novak,2015,5.42
Valentine's Day,22,2,Greg Daniels,Michael Schur,2016,8.95
Dwight's Speech,23,2,Charles McDougall,Paul Lieberstein,2017,8.4
Take Your Daughter to Work Day,24,2,"Victor Nelli, Jr.",Mindy Kaling,2018,8.8
Michael's Birthday,25,2,Ken Whittingham,Gene Stupnitsky & Lee Eisenberg,2019,7.8
Drug Testing,26,2,Greg Daniels,Jennifer Celotta,2022,7.8
Conflict Resolution,27,2,Charles McDougall,Greg Daniels,2020,7.4
Casino Night,28,2,Ken Kwapis,Steve Carell,2021,7.6
Gay Witch Hunt,29,3,Ken Kwapis,Greg Daniels,3001,9.11
The Convention,30,3,Ken Whittingham,Gene Stupnitsky & Lee Eisenberg,3006,7.78
The Coup,31,3,Greg Daniels,Paul Lieberstein,3002,8.89
Grief Counseling,32,3,Roger Nygard,Jennifer Celotta,3003,8.83
Initiation,33,3,Randall Einhorn,B. J. Novak,3005,8.46
Diwali,34,3,Miguel Arteta,Mindy Kaling,3004,8.81
Branch Closing,35,3,Tucker Gates,Michael Schur,3007,8.05
The Merger,36,3,Ken Whittingham,Brent Forrester,3008,8.63
The Convict,37,3,Jeffrey Blitz,Ricky Gervais & Stephen Merchant,3010,9.07
A Benihana Christmas,38,3,Harold Ramis,Jennifer Celotta,3009,8.44
Back from Vacation,39,3,Julian Farino,Justin Spitzer,3011,8.8
Traveling Salesmen,40,3,Greg Daniels,Michael Schur & Lee Eisenberg & Gene Stupnitsky,3012,10.12
The Return,41,3,Greg Daniels,Lee Eisenberg & Gene Stupnitsky & Michael Schur,3013,10.2
Ben Franklin,42,3,Randall Einhorn,Mindy Kaling,3015,10.11
Phyllis' Wedding,43,3,Ken Whittingham,Caroline Williams,3016,8.84
Business School,44,3,Joss Whedon,Brent Forrester,3017,8.84
Cocktails,45,3,J. J. Abrams,Paul Lieberstein,3018,8.3
The Negotiation,46,3,Jeffrey Blitz,Michael Schur,3019,6.74
Safety Training,47,3,Harold Ramis,B. J. Novak,3020,7.71
Product Recall,48,3,Randall Einhorn,Justin Spitzer & Brent Forrester,3025,7.56
Women's Appreciation,49,3,Tucker Gates,Gene Stupnitsky & Lee Eisenberg,3021,7
Beach Games,50,3,Harold Ramis,Jennifer Celotta & Greg Daniels,3022,7.2
The Job,51,3,Ken Kwapis,Paul Lieberstein & Michael Schur,3023,7.88
Fun Run,52,4,Greg Daniels,Greg Daniels,4001,9.7
Dunder Mifflin Infinity,53,4,Craig Zisk,Michael Schur,4003,8.49
Launch Party,54,4,Ken Whittingham,Jennifer Celotta,4005,8.91
Money,55,4,Paul Lieberstein,Paul Lieberstein,4007,8.5
Local Ad,56,4,Jason Reitman,B. J. Novak,4009,8.98
Branch Wars,57,4,Joss Whedon,Mindy Kaling,4010,8.39
Survivor Man,58,4,Paul Feig,Steve Carell,4011,8.29
The Deposition,59,4,Julian Farino,Lester Lewis,4012,8.86
Dinner Party,60,4,Paul Feig,Gene Stupnitsky & Lee Eisenberg,4013,9.22
Chair Model,61,4,Jeffrey Blitz,B. J. Novak,4014,9.81
Night Out,62,4,Ken Whittingham,Mindy Kaling,4015,7.56
Did I Stutter?,63,4,Randall Einhorn,Brent Forrester & Justin Spitzer,4016,7.67
Job Fair,64,4,Tucker Gates,Lee Eisenberg & Gene Stupnitsky,4017,7.22
"Goodbye, Toby",65,4,Paul Feig,Jennifer Celotta & Paul Lieberstein,4018,8.07
Weight Loss,66,5,Paul Feig,Lee Eisenberg & Gene Stupnitsky,5001,9.2
